NAME                      VERSION                               TYPE                     
Simple Launcher           1.1.0.14                              binary  (+5 duplicates)  
adduser                   3.152                                 deb                      
aiohappyeyeballs          2.6.1                                 python                   
aiohttp                   3.13.3                                python                   
aiosignal                 1.4.0                                 python                   
alembic                   1.18.0                                python                   
amqp                      5.3.1                                 python                   
annotated-doc             0.0.4                                 python                   
annotated-types           0.7.0                                 python                   
antlr4-python3-runtime    4.9.3                                 python                   
anyio                     4.12.1                                python                   
apt                       3.0.3                                 deb                      
argon2-cffi               25.1.0                                python                   
argon2-cffi-bindings      25.1.0                                python                   
asteroid-filterbanks      0.4.0                                 python                   
attrs                     25.4.0                                python                   
autocommand               2.2.2                                 python                   
av                        15.1.0                                python                   
backports-tarfile         1.2.0                                 python                   
base-files                13.8+deb13u3                          deb                      
base-passwd               3.6.7                                 deb                      
bash                      5.2.37-2+b7                           deb                      
bcrypt                    3.2.2                                 python                   
billiard                  4.2.4                                 python                   
bsdutils                  1:2.41-5                              deb                      
ca-certificates           20250419                              deb                      
celery                    5.6.2                                 python                   
certifi                   2026.1.4                              python                   
cffi                      2.0.0                                 python                   
charset-normalizer        3.4.4                                 python                   
cli                       UNKNOWN                               binary                   
cli-32                    UNKNOWN                               binary                   
cli-64                    UNKNOWN                               binary                   
cli-arm64                 UNKNOWN                               binary                   
click                     8.3.1                                 python                   
click-didyoumean          0.3.1                                 python                   
click-plugins             1.1.1.2                               python                   
click-repl                0.3.0                                 python                   
coloredlogs               15.0.1                                python                   
colorlog                  6.10.1                                python                   
contourpy                 1.3.3                                 python                   
coreutils                 9.7-3                                 deb                      
cryptography              46.0.3                                python                   
ctranslate2               4.6.3                                 python                   
curl                      8.14.1-2+deb13u2                      deb                      
cycler                    0.12.1                                python                   
dash                      0.5.12-12                             deb                      
debconf                   1.5.91                                deb                      
debian-archive-keyring    2025.1                                deb                      
debianutils               5.23.2                                deb                      
diffutils                 1:3.10-4                              deb                      
dnspython                 2.8.0                                 python                   
docopt                    0.6.2                                 python                   
dpkg                      1.22.21                               deb                      
ecdsa                     0.19.1                                python                   
einops                    0.8.1                                 python                   
email-validator           2.3.0                                 python                   
events                    0.5                                   python                   
fastapi                   0.128.0                               python                   
faster-whisper            1.2.1                                 python                   
ffmpeg                    7:7.1.3-0+deb13u1                     deb                      
ffmpeg-python             0.2.0                                 python                   
filelock                  3.20.3                                python                   
findutils                 4.10.0-3                              deb                      
flatbuffers               25.12.19                              python                   
flower                    2.0.1                                 python                   
fontconfig                2.15.0-2.3                            deb                      
fontconfig-config         2.15.0-2.3                            deb                      
fonts-dejavu-core         2.37-8                                deb                      
fonts-dejavu-mono         2.37-8                                deb                      
fonttools                 4.61.1                                python                   
frozenlist                1.8.0                                 python                   
fsspec                    2026.1.0                              python                   
future                    1.0.0                                 python                   
gcc-14-base               14.2.0-19                             deb                      
greenlet                  3.3.0                                 python                   
grep                      3.11-4                                deb                      
grpcio                    1.76.0                                python                   
gui                       UNKNOWN                               binary                   
